Survived,Age,Fare,Pclass,Sex,Embarked,FamilyType,Title
0,22,7.25,3,male,S,Medium,Mr
1,26,7.925,3,female,S,Alone,Miss
1,35,53.1,1,female,S,Medium,Mrs
0,35,8.05,3,male,S,Alone,Mr
0,29,8.4583,3,male,Q,Alone,Mr
0,54,51.8625,1,male,S,Alone,Mr
0,2,21.075,3,male,S,Large,Master
1,27,11.1333,3,female,S,Medium,Mrs
1,14,30.0708,2,female,C,Medium,Mrs
1,4,16.7,3,female,S,Medium,Miss
1,58,26.55,1,female,S,Alone,Miss
0,20,8.05,3,male,S,Alone,Mr
0,39,31.275,3,male,S,Large,Mr
0,14,7.8542,3,female,S,Alone,Miss
1,55,16.0,2,female,S,Alone,Mrs
0,2,29.125,3,male,Q,Large,Master
1,29,13.0,2,male,S,Alone,Mr
0,31,18.0,3,female,S,Medium,Mrs
1,29,7.225,3,female,C,Alone,Mrs
0,35,26.0,2,male,S,Alone,Mr
1,34,13.0,2,male,S,Alone,Mr
1,15,8.0292,3,female,Q,Alone,Miss
1,28,35.5,1,male,S,Alone,Mr
0,8,21.075,3,female,S,Large,Miss
1,38,31.3875,3,female,S,Large,Mrs
0,29,7.225,3,male,C,Alone,Mr
1,29,7.8792,3,female,Q,Alone,Miss
0,29,7.8958,3,male,S,Alone,Mr
0,40,27.7208,1,male,C,Alone,Rare
1,29,7.75,3,female,Q,Alone,Miss
0,66,10.5,2,male,S,Alone,Mr
0,42,52.0,1,male,S,Medium,Mr
1,29,7.2292,3,male,C,Alone,Mr
0,21,8.05,3,male,S,Alone,Mr
0,18,18.0,3,female,S,Medium,Miss
1,14,11.2417,3,female,C,Medium,Miss
0,40,9.475,3,female,S,Medium,Mrs
0,27,21.0,2,female,S,Medium,Mrs
0,29,7.8958,3,male,C,Alone,Mr
1,3,41.5792,2,female,C,Medium,Miss
1,19,7.8792,3,female,Q,Alone,Miss
0,29,8.05,3,male,S,Alone,Mr
0,29,15.5,3,male,Q,Medium,Mr
1,29,7.75,3,female,Q,Alone,Miss
0,29,21.6792,3,male,C,Medium,Mr
0,18,17.8,3,female,S,Medium,Mrs
0,7,39.6875,3,male,S,Large,Master
0,21,7.8,3,male,S,Alone,Mr
1,29,26.0,2,female,S,Medium,Mrs
0,65,61.9792,1,male,C,Medium,Mr
1,29,35.5,1,male,S,Alone,Mr
1,21,10.5,2,female,S,Alone,Miss
0,28,7.2292,3,male,C,Alone,Mr
1,5,27.75,2,female,S,Medium,Miss
0,11,46.9,3,male,S,Large,Master
0,22,7.2292,3,male,C,Alone,Mr
0,4,27.9,3,male,S,Large,Master
0,29,27.7208,1,male,C,Alone,Mr
1,29,15.2458,3,male,C,Medium,Master
1,29,10.5,2,female,S,Alone,Mrs
0,19,8.1583,3,male,S,Alone,Mr
1,17,7.925,3,female,S,Large,Miss
0,26,8.6625,3,male,S,Medium,Mr
0,32,10.5,2,male,S,Alone,Mr
0,16,46.9,3,female,S,Large,Miss
0,26,14.4542,3,male,C,Medium,Mr
1,32,56.4958,3,male,S,Alone,Mr
0,25,7.65,3,male,S,Alone,Mr
0,29,7.8958,3,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
1,0,29.0,2,male,S,Medium,Master
1,30,12.475,3,female,S,Alone,Miss
0,22,9.0,3,male,S,Alone,Mr
1,29,9.5,3,male,S,Alone,Mr
1,29,7.7875,3,female,Q,Alone,Miss
0,28,47.1,1,male,S,Alone,Mr
1,17,10.5,2,female,S,Alone,Miss
1,33,15.85,3,female,S,Medium,Mrs
0,16,34.375,3,male,S,Large,Mr
0,29,8.05,3,male,S,Alone,Mr
0,24,8.05,3,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
0,20,7.8542,3,male,S,Alone,Mr
0,46,61.175,1,male,S,Medium,Mr
0,26,20.575,3,male,S,Medium,Mr
0,59,7.25,3,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
1,23,63.3583,1,male,C,Medium,Mr
1,34,23.0,2,female,S,Medium,Mrs
0,34,26.0,2,male,S,Medium,Mr
0,28,7.8958,3,female,S,Alone,Miss
0,29,7.8958,3,male,S,Alone,Mr
0,33,8.6542,3,male,S,Alone,Mr
0,37,7.925,3,male,S,Medium,Mr
0,28,7.8958,3,male,S,Alone,Mr
1,21,7.65,3,female,S,Alone,Miss
1,29,7.775,3,male,S,Alone,Mr
0,38,7.8958,3,male,S,Alone,Mr
1,29,24.15,3,female,Q,Medium,Miss
0,47,52.0,1,male,S,Alone,Mr
0,14,14.4542,3,female,C,Medium,Miss
0,22,8.05,3,male,S,Alone,Mr
0,20,9.825,3,female,S,Medium,Miss
0,17,14.4583,3,female,C,Alone,Miss
0,21,7.925,3,male,S,Alone,Mr
0,29,21.0,2,male,S,Medium,Mr
0,2,31.275,3,female,S,Large,Miss
0,29,8.05,3,male,S,Alone,Mr
0,32,30.0708,2,male,C,Medium,Mr
1,32,13.0,2,female,S,Alone,Miss
1,12,11.2417,3,male,C,Medium,Master
0,29,7.75,3,male,Q,Alone,Mr
1,24,7.1417,3,male,S,Alone,Mr
1,29,22.3583,3,female,C,Medium,Miss
0,45,6.975,3,male,S,Alone,Mr
0,33,7.8958,3,male,C,Alone,Mr
0,20,7.05,3,male,S,Alone,Mr
0,47,14.5,3,female,S,Medium,Mrs
1,29,26.0,2,female,S,Medium,Mrs
0,25,13.0,2,male,S,Alone,Mr
0,23,15.0458,2,male,C,Alone,Mr
1,19,26.2833,1,female,S,Medium,Miss
0,37,53.1,1,male,S,Medium,Mr
0,16,9.2167,3,male,S,Alone,Mr
0,29,15.2458,3,female,C,Medium,Mrs
1,22,7.75,3,female,S,Alone,Miss
1,24,15.85,3,female,S,Medium,Mrs
0,19,6.75,3,male,Q,Alone,Mr
0,18,11.5,2,male,S,Alone,Mr
0,19,36.75,2,male,S,Medium,Mr
1,27,7.7958,3,male,S,Alone,Mr
0,9,34.375,3,female,S,Large,Miss
0,36,26.0,2,male,S,Medium,Mr
0,42,13.0,2,male,S,Alone,Rare
0,51,12.525,2,male,S,Alone,Rare
0,55,8.05,3,male,S,Alone,Mr
0,40,14.5,3,male,S,Medium,Mr
0,29,7.3125,3,male,S,Alone,Mr
0,51,61.3792,1,male,C,Medium,Mr
1,16,7.7333,3,female,Q,Alone,Miss
0,30,8.05,3,male,S,Alone,Mr
0,29,8.6625,3,male,S,Alone,Mr
0,44,16.1,3,male,S,Medium,Mr
1,40,15.75,2,female,S,Alone,Mrs
0,26,7.775,3,male,S,Alone,Mr
0,17,8.6625,3,male,S,Alone,Mr
0,1,39.6875,3,male,S,Large,Master
1,9,20.525,3,male,S,Medium,Master
1,29,55.0,1,female,S,Medium,Mrs
0,45,27.9,3,female,S,Large,Mrs
0,29,25.925,1,male,S,Alone,Mr
0,28,56.4958,3,male,S,Alone,Mr
0,61,33.5,1,male,S,Alone,Mr
0,4,29.125,3,male,Q,Large,Master
1,1,11.1333,3,female,S,Medium,Miss
0,21,7.925,3,male,S,Alone,Mr
0,56,30.6958,1,male,C,Alone,Mr
0,18,7.8542,3,male,S,Medium,Mr
0,29,25.4667,3,male,S,Large,Master
0,50,28.7125,1,female,C,Alone,Miss
0,30,13.0,2,male,S,Alone,Mr
0,36,0.0,3,male,S,Alone,Mr
0,29,15.05,2,male,C,Alone,Mr
0,9,31.3875,3,male,S,Large,Master
1,1,39.0,2,male,S,Medium,Master
1,4,22.025,3,female,S,Medium,Miss
0,29,50.0,1,male,S,Alone,Mr
1,29,15.5,3,female,Q,Medium,Mrs
1,45,26.55,1,male,S,Alone,Mr
0,40,15.5,3,male,Q,Medium,Mr
0,36,7.8958,3,male,S,Alone,Mr
1,32,13.0,2,female,S,Alone,Mrs
0,19,13.0,2,male,S,Alone,Mr
1,19,7.8542,3,female,S,Medium,Miss
1,3,26.0,2,male,S,Medium,Master
1,44,27.7208,1,female,C,Alone,Mrs
0,29,7.75,3,male,Q,Alone,Mr
0,42,8.4042,3,male,S,Medium,Mr
1,29,7.75,3,female,Q,Alone,Miss
0,24,13.0,2,female,S,Alone,Miss
0,28,9.5,3,male,S,Alone,Mr
0,34,6.4958,3,male,S,Alone,Mr
0,45,7.225,3,male,C,Alone,Mr
1,18,8.05,3,male,S,Alone,Mr
0,2,10.4625,3,female,S,Medium,Miss
0,32,15.85,3,male,S,Medium,Mr
1,26,18.7875,3,male,C,Alone,Mr
1,16,7.75,3,female,Q,Alone,Miss
1,40,31.0,1,male,C,Alone,Mr
0,24,7.05,3,male,S,Alone,Mr
1,35,21.0,2,female,S,Alone,Miss
0,22,7.25,3,male,S,Alone,Mr
0,30,13.0,2,male,S,Alone,Mr
0,29,7.75,3,male,Q,Medium,Mr
